,,,,,,
,Language,Voice type,Language code,Voice name,SSML Gender,Sample
,Afrikaans (South Africa),Standard,af-ZA,af-ZA-Standard-A,FEMALE,
,Arabic,Standard,ar-XA,ar-XA-Standard-A,FEMALE,
,Arabic,Standard,ar-XA,ar-XA-Standard-B,MALE,
,Arabic,Standard,ar-XA,ar-XA-Standard-C,MALE,
,Arabic,Standard,ar-XA,ar-XA-Standard-D,FEMALE,
,Arabic,Premium,ar-XA,ar-XA-Wavenet-A,FEMALE,
,Arabic,Premium,ar-XA,ar-XA-Wavenet-B,MALE,
,Arabic,Premium,ar-XA,ar-XA-Wavenet-C,MALE,
,Arabic,Premium,ar-XA,ar-XA-Wavenet-D,FEMALE,
,Basque (Spain),Standard,eu-ES,eu-ES-Standard-A,FEMALE,
,Basque (Spain),Standard,eu-ES,eu-ES-Standard-B,FEMALE,
,Bengali (India),Standard,bn-IN,bn-IN-Standard-A,FEMALE,
,Bengali (India),Standard,bn-IN,bn-IN-Standard-B,MALE,
,Bengali (India),Standard,bn-IN,bn-IN-Standard-C,FEMALE,
,Bengali (India),Standard,bn-IN,bn-IN-Standard-D,MALE,
,Bengali (India),Premium,bn-IN,bn-IN-Wavenet-A,FEMALE,
,Bengali (India),Premium,bn-IN,bn-IN-Wavenet-B,MALE,
,Bengali (India),Premium,bn-IN,bn-IN-Wavenet-C,FEMALE,
,Bengali (India),Premium,bn-IN,bn-IN-Wavenet-D,MALE,
,Bulgarian (Bulgaria),Standard,bg-BG,bg-BG-Standard-A,FEMALE,
,Bulgarian (Bulgaria),Standard,bg-BG,bg-BG-Standard-B,FEMALE,
,Catalan (Spain),Standard,ca-ES,ca-ES-Standard-A,FEMALE,
,Catalan (Spain),Standard,ca-ES,ca-ES-Standard-B,FEMALE,
,Chinese (Hong Kong),Standard,yue-HK,yue-HK-Standard-A,FEMALE,
,Chinese (Hong Kong),Standard,yue-HK,yue-HK-Standard-B,MALE,
,Chinese (Hong Kong),Standard,yue-HK,yue-HK-Standard-C,FEMALE,
,Chinese (Hong Kong),Standard,yue-HK,yue-HK-Standard-D,MALE,
,Czech (Czech Republic),Standard,cs-CZ,cs-CZ-Standard-A,FEMALE,
,Czech (Czech Republic),Standard,cs-CZ,cs-CZ-Standard-B,FEMALE,
,Czech (Czech Republic),Premium,cs-CZ,cs-CZ-Wavenet-A,FEMALE,
,Danish (Denmark),Premium,da-DK,da-DK-Neural2-D,FEMALE,
,Danish (Denmark),Standard,da-DK,da-DK-Standard-A,FEMALE,
,Danish (Denmark),Standard,da-DK,da-DK-Standard-C,MALE,
,Danish (Denmark),Standard,da-DK,da-DK-Standard-D,FEMALE,
,Danish (Denmark),Standard,da-DK,da-DK-Standard-E,FEMALE,
,Danish (Denmark),Standard,da-DK,da-DK-Standard-F,FEMALE,
,Danish (Denmark),Standard,da-DK,da-DK-Standard-G,MALE,
,Danish (Denmark),Premium,da-DK,da-DK-Wavenet-A,FEMALE,
,Danish (Denmark),Premium,da-DK,da-DK-Wavenet-C,MALE,
